apples,bananas,beer,bread,broccoli,diapers,eggs,milk,potatoes,steak
0,0,0,0,13,0,16,8,0,17
11,12,7,9,0,26,7,6,5,2
14,13,6,12,0,30,8,6,4,2
0,0,17,1,0,0,0,0,3,22
0,0,45,1,0,0,0,0,5,27
0,0,24,1,0,0,0,0,3,28
0,0,0,0,11,0,13,9,0,18
8,8,0,0,17,0,0,0,11,0
0,0,40,3,0,0,0,0,5,25
10,10,10,12,0,28,5,6,8,2
0,0,25,6,0,0,0,0,6,25
0,0,0,0,15,0,20,5,0,23
6,5,0,0,13,0,0,0,12,0
0,0,35,3,0,0,0,0,2,32
0,0,13,0,0,0,0,0,2,23
0,0,0,0,11,0,17,5,0,33
0,0,0,0,14,0,13,7,0,22
0,0,0,0,9,0,15,0,0,20
0,0,32,0,0,0,0,0,7,29
8,11,0,0,13,0,0,0,11,0
0,0,24,3,0,0,0,0,6,28
11,6,0,0,16,0,0,0,12,0
12,12,7,11,0,37,2,9,3,5
12,13,6,7,0,28,9,8,2,3
8,8,0,0,13,0,0,0,9,0
0,0,30,3,0,0,0,0,6,29
17,13,6,11,0,26,2,9,3,2
11,4,0,0,15,0,0,0,8,0
0,0,38,0,0,0,0,0,6,37
0,0,30,0,0,0,0,0,7,30
0,0,0,0,10,0,18,4,0,18
0,0,0,0,12,0,18,5,0,16
9,10,0,0,12,0,0,0,6,0
0,0,0,0,13,0,14,7,0,26
3,6,0,0,22,0,0,0,5,0
0,0,0,0,9,0,16,8,0,24
0,0,50,2,0,0,0,0,5,33
13,11,6,14,0,35,5,9,4,5
0,0,0,0,17,0,17,6,0,27
7,7,0,0,17,0,0,0,11,0
0,0,22,2,0,0,0,0,6,30
0,0,0,0,16,0,13,2,0,22
0,0,28,1,0,0,0,0,7,28
0,0,6,3,0,0,0,0,2,24
0,0,32,4,0,0,0,0,5,32
11,11,0,0,15,0,0,0,6,0
0,0,0,0,8,0,15,0,0,24
11,5,11,12,0,28,8,8,4,4
4,16,0,0,20,0,0,0,9,0
0,0,0,0,10,0,13,7,0,13
0,0,0,0,11,0,15,8,0,22
5,9,0,0,11,0,0,0,7,0
5,3,0,0,14,0,0,0,9,0
0,0,19,2,0,0,0,0,8,20
4,0,0,0,16,0,0,0,10,0
9,5,0,0,16,0,0,0,9,0
5,9,0,0,15,0,0,0,12,0
13,9,8,8,0,22,12,4,4,4
0,0,38,3,0,0,0,0,4,23
0,0,0,0,9,0,16,8,0,17
0,0,0,0,10,0,14,5,0,24
0,0,0,0,15,0,14,4,0,15
0,0,0,0,9,0,15,8,0,18
0,0,0,0,9,0,18,0,0,19
0,0,0,0,13,0,15,6,0,14
0,0,0,0,8,0,12,1,0,22
9,0,0,0,10,0,0,0,9,0
0,0,0,0,7,0,18,6,0,21
0,0,0,0,11,0,14,5,0,12
0,0,25,6,0,0,0,0,8,27
0,0,45,2,0,0,0,0,5,30
0,0,0,0,11,0,16,2,0,28
0,0,0,0,11,0,11,7,0,27
0,0,0,0,7,0,14,5,0,12
4,10,0,0,17,0,0,0,8,0
5,12,0,0,14,0,0,0,10,0
0,0,39,0,0,0,0,0,3,24
13,11,9,10,0,20,5,8,2,2
0,0,0,0,7,0,14,4,0,26
0,0,0,0,12,0,12,2,0,21
0,0,33,4,0,0,0,0,5,29
0,0,36,5,0,0,0,0,3,33
0,0,16,1,0,0,0,0,5,24
10,8,7,13,0,34,10,5,3,5
12,9,10,11,0,32,9,9,4,2
0,0,0,0,18,0,12,6,0,22
0,0,0,0,11,0,14,7,0,19
0,0,41,3,0,0,0,0,0,31
0,0,0,1,0,0,0,0,5,22
0,0,40,5,0,0,0,0,5,25
0,0,15,2,0,0,0,0,2,31
8,10,8,14,0,40,9,8,8,3
11,13,9,17,0,38,12,9,3,1
8,7,8,15,0,26,6,12,6,4
3,12,0,0,14,0,0,0,7,0
0,0,0,0,15,0,16,6,0,20
0,0,0,0,11,0,16,3,0,23
0,0,0,0,12,0,15,6,0,23
0,0,0,0,7,0,12,3,0,25
0,0,0,0,12,0,15,4,0,23
0,0,0,0,10,0,16,9,0,19
4,6,0,0,8,0,0,0,12,0
16,8,8,17,0,34,8,9,7,0
0,0,23,3,0,0,0,0,4,37
12,6,0,0,14,0,0,0,8,0
10,14,6,8,0,44,8,9,3,2
14,9,12,14,0,25,6,7,2,3
0,0,0,0,12,0,13,7,0,26
0,0,27,2,0,0,0,0,2,27
0,0,25,0,0,0,0,0,4,32
0,0,0,0,12,0,15,8,0,23
0,0,0,0,12,0,14,5,0,22
0,0,0,0,12,0,13,10,0,27
0,0,0,0,10,0,17,1,0,17
0,0,0,0,8,0,15,0,0,27
0,0,38,3,0,0,0,0,5,24
0,0,32,1,0,0,0,0,2,27
0,0,0,0,6,0,18,4,0,8
9,3,0,0,12,0,0,0,8,0
0,0,0,0,11,0,17,1,0,19
6,9,0,0,14,0,0,0,10,0
0,0,16,3,0,0,0,0,3,26
5,7,0,0,11,0,0,0,11,0
5,12,0,0,13,0,0,0,9,0
0,0,39,3,0,0,0,0,3,39
0,0,29,4,0,0,0,0,5,24
0,0,16,3,0,0,0,0,6,30
13,7,6,18,0,31,9,6,4,0
0,0,0,0,12,0,16,8,0,10
9,8,12,13,0,32,6,7,3,1
0,0,0,0,10,0,13,5,0,8
6,6,0,0,20,0,0,0,10,0
14,11,9,14,0,30,6,6,5,0
8,12,7,12,0,22,8,5,8,2
0,0,25,4,0,0,0,0,1,27
0,0,0,0,17,0,14,0,0,21
0,0,0,0,13,0,16,5,0,22
0,0,0,0,11,0,12,2,0,18
0,0,6,3,0,0,0,0,4,36
0,0,0,0,12,0,16,3,0,16
0,0,0,0,12,0,10,0,0,19
8,5,0,0,14,0,0,0,12,0
0,0,0,0,12,0,12,4,0,16
0,0,29,1,0,0,0,0,3,38
11,6,0,0,13,0,0,0,9,0
10,5,0,0,16,0,0,0,9,0
4,9,0,0,16,0,0,0,13,0
0,0,0,0,11,0,17,1,0,22
0,0,0,0,12,0,14,2,0,13
11,12,8,12,0,26,5,9,1,3
6,9,0,0,17,0,0,0,9,0
13,11,0,0,15,0,0,0,10,0
12,8,0,0,12,0,0,0,9,0
